record_id,user_id,user_name,region,subscription_type,movie_id,title,genre,type,watch_time_minutes,duration_minutes,watch_date,rating,device,status
10001,U538,Oliver Brown,UAE,Premium,M517,Dark,Action,TV Show,31,51,2025-08-15,4,Tablet,Incomplete
10002,U841,Ella Turner,USA,Standard,M302,Extraction,Thriller,TV Show,40,52,2025-08-25,1,Mobile,Incomplete
10003,U121,Sophia Hall,India,Free,M747,Jawan,Sci-Fi,TV Show,33,50,2025-10-05,2,Smart TV,Incomplete
10004,U461,Isabella Thomas,Canada,Free,M247,The Mandalorian,Fantasy,Movie,43,83,2025-09-17,4,Smart TV,Incomplete
10005,U307,Meera Kapoor,UAE,Premium,M683,Vikings,Crime,Movie,47,49,2025-08-27,4,Laptop,Completed
10006,U532,Benjamin Scott,UK,Standard,M737,Black Mirror,Action,TV Show,18,32,2025-08-16,3,Smart TV,Incomplete
10007,U543,Meera Kapoor,UK,Free,M218,Peaky Blinders,Crime,Movie,17,28,2025-08-31,1,Tablet,Incomplete
10008,U569,Lily Martin,Canada,Free,M781,Dark,Adventure,Movie,67,92,2025-10-22,4,Mobile,Incomplete
10009,U560,Ryan Moore,UK,Free,M589,Friends,Comedy,Movie,150,172,2025-09-16,1,Tablet,Incomplete
10010,U429,Sarah Lee,Australia,Free,M930,Money Heist,Romance,Movie,86,148,2025-08-28,4,Smart TV,Incomplete
10011,U581,Meera Kapoor,Japan,Free,M731,Friends,Sci-Fi,Movie,67,91,2025-10-26,4,Laptop,Incomplete
10012,U920,Ethan Davis,USA,Standard,M384,The Witcher,Sci-Fi,Movie,92,144,2025-08-18,1,Mobile,Incomplete
10013,U131,Ryan Moore,Canada,Standard,M922,The Boys,Crime,TV Show,27,37,2025-08-25,5,Smart TV,Incomplete
10014,U751,Diya Reddy,UAE,Premium,M637,The Witcher,Action,TV Show,29,36,2025-10-24,4,Laptop,Incomplete
10015,U308,Saanvi Jain,UAE,Premium,M416,The Office,Romance,Movie,89,100,2025-10-19,1,Tablet,Incomplete
10016,U763,David Wilson,USA,Free,M354,Squid Game,Fantasy,TV Show,49,55,2025-08-16,3,Tablet,Incomplete
10017,U749,Emma Johnson,Australia,Premium,M100,The Mandalorian,Thriller,TV Show,26,44,2025-10-24,3,Smart TV,Incomplete
10018,U889,Lucas Green,UK,Premium,M558,Narcos,Sci-Fi,Movie,110,158,2025-10-27,4,Tablet,Incomplete
10019,U848,Ryan Moore,Australia,Premium,M248,Breaking Bad,Fantasy,Movie,28,48,2025-10-23,4,Tablet,Incomplete
10020,U158,Arnav Joshi,Australia,Premium,M498,Sacred Games,Comedy,Movie,132,138,2025-08-18,5,Tablet,Completed
10021,U260,Arnav Joshi,India,Premium,M183,Bridgerton,Comedy,Movie,63,93,2025-08-27,5,Tablet,Incomplete
10022,U178,Priya Nair,UK,Premium,M578,Sacred Games,Romance,TV Show,37,58,2025-10-06,2,Smart TV,Incomplete
10023,U878,Aarav Gupta,USA,Free,M908,Breaking Bad,Action,Movie,97,154,2025-09-22,2,Tablet,Incomplete
10024,U875,Charlotte Adams,UAE,Standard,M802,The Boys,Crime,TV Show,40,55,2025-09-27,2,Tablet,Incomplete
10025,U529,Oliver Brown,Australia,Free,M616,House of the Dragon,Crime,Movie,138,141,2025-10-19,4,Mobile,Completed
10026,U699,Priya Nair,USA,Free,M666,Interstellar,Drama,Movie,108,161,2025-10-09,5,Tablet,Incomplete
